Load, Connected KVA, Allocation Factor, Phases, kW, kvar, PF, Model
138685A0A,      0.0, 0.500, 1,      2.3,      0.6, 0.970, 1
138685A0B,      0.0, 0.500, 1,      3.0,      0.8, 0.970, 1
138716C0A,      0.0, 0.500, 1,      1.3,      0.3, 0.970, 1
138716C0B,      0.0, 0.500, 1,      8.9,      2.2, 0.970, 1
138717C0A,      0.0, 0.500, 1,      2.2,      0.6, 0.970, 1
138717C0B,      0.0, 0.500, 1,      7.9,      2.0, 0.970, 1
138718C0A,      0.0, 0.500, 1,      8.5,      2.1, 0.970, 1
138718C0B,      0.0, 0.500, 1,      1.7,      0.4, 0.970, 1
138719A0A,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
138719A0B,      0.0, 0.500, 1,      8.7,      2.2, 0.970, 1
138720A0A,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
138720A0B,      0.0, 0.500, 1,      6.0,      1.5, 0.970, 1
138751B0A,      0.0, 0.500, 1,      9.6,      2.4, 0.970, 1
138751B0B,      0.0, 0.500, 1,      0.1,      0.0, 0.970, 1
138752B0A,      0.0, 0.500, 1,      4.2,      1.0, 0.970, 1
138752B0B,      0.0, 0.500, 1,      1.7,      0.4, 0.970, 1
138753B0A,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
138753B0B,      0.0, 0.500, 1,      8.8,      2.2, 0.970, 1
138754B0A,      0.0, 0.500, 1,      3.0,      0.8, 0.970, 1
138754B0B,      0.0, 0.500, 1,     11.6,      2.9, 0.970, 1
138755B0A,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
138755B0B,      0.0, 0.500, 1,      2.7,      0.7, 0.970, 1
138769A0A,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
138769A0B,      0.0, 0.500, 1,      3.3,      0.8, 0.970, 1
138770A0A,      0.0, 0.500, 1,      1.1,      0.3, 0.970, 1
138770A0B,      0.0, 0.500, 1,      2.5,      0.6, 0.970, 1
138771A0A,      0.0, 0.500, 1,      0.6,      0.1, 0.970, 1
138771A0B,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
138776C0A,      0.0, 0.500, 1,      1.6,      0.4, 0.970, 1
138776C0B,      0.0, 0.500, 1,      4.5,      1.1, 0.970, 1
138796B0A,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
138796B0B,      0.0, 0.500, 1,      2.7,      0.7, 0.970, 1
138797B0A,      0.0, 0.500, 1,      2.4,      0.6, 0.970, 1
138797B0B,      0.0, 0.500, 1,     12.2,      3.1, 0.970, 1
138798B0A,      0.0, 0.500, 1,      4.8,      1.2, 0.970, 1
138798B0B,      0.0, 0.500, 1,      1.1,      0.3, 0.970, 1
157715B0A,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
157715B0B,      0.0, 0.500, 1,      1.8,      0.5, 0.970, 1
157716B0A,      0.0, 0.500, 1,      8.2,      2.0, 0.970, 1
157716B0B,      0.0, 0.500, 1,      1.6,      0.4, 0.970, 1
157717B0A,      0.0, 0.500, 1,      1.4,      0.4, 0.970, 1
157717B0B,      0.0, 0.500, 1,      4.4,      1.1, 0.970, 1
157718B0A,      0.0, 0.500, 1,      9.1,      2.3, 0.970, 1
157718B0B,      0.0, 0.500, 1,      0.6,      0.1, 0.970, 1
207286C0A,      0.0, 0.500, 1,      1.4,      0.3, 0.970, 1
207286C0B,      0.0, 0.500, 1,      2.7,      0.7, 0.970, 1
207287B0A,      0.0, 0.500, 1,      1.1,      0.3, 0.970, 1
207287B0B,      0.0, 0.500, 1,      8.7,      2.2, 0.970, 1
207288B0A,      0.0, 0.500, 1,      2.4,      0.6, 0.970, 1
207288B0B,      0.0, 0.500, 1,      1.5,      0.4, 0.970, 1
207290A0A,      0.0, 0.500, 1,      5.1,      1.3, 0.970, 1
207290A0B,      0.0, 0.500, 1,      3.8,      0.9, 0.970, 1
207291C0A,      0.0, 0.500, 1,      4.9,      1.2, 0.970, 1
207291C0B,      0.0, 0.500, 1,      5.3,      1.3, 0.970, 1
207292C0A,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
207292C0B,      0.0, 0.500, 1,      1.4,      0.3, 0.970, 1
218472A0A,      0.0, 0.500, 1,      4.9,      1.2, 0.970, 1
218472A0B,      0.0, 0.500, 1,      4.0,      1.0, 0.970, 1
218473A0A,      0.0, 0.500, 1,      1.5,      0.4, 0.970, 1
218473A0B,      0.0, 0.500, 1,      7.4,      1.8, 0.970, 1
218474A0A,      0.0, 0.500, 1,     11.8,      3.0, 0.970, 1
218474A0B,      0.0, 0.500, 1,      6.0,      1.5, 0.970, 1
218475A0A,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
218475A0B,      0.0, 0.500, 1,      1.6,      0.4, 0.970, 1
223655C0A,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
223655C0B,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
223658A0A,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
223658A0B,      0.0, 0.500, 1,      0.6,      0.1, 0.970, 1
223660C0A,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
223660C0B,      0.0, 0.500, 1,      5.6,      1.4, 0.970, 1
223661C0A,      0.0, 0.500, 1,      4.0,      1.0, 0.970, 1
223661C0B,      0.0, 0.500, 1,      2.1,      0.5, 0.970, 1
223662C0A,      0.0, 0.500, 1,      5.2,      1.3, 0.970, 1
223662C0B,      0.0, 0.500, 1,     10.1,      2.5, 0.970, 1
223663C0A,      0.0, 0.500, 1,      4.0,      1.0, 0.970, 1
223663C0B,      0.0, 0.500, 1,      0.0,      0.0, 0.970, 1
247036C0A,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
247036C0B,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
247056A0A,      0.0, 0.500, 1,      2.3,      0.6, 0.970, 1
247056A0B,      0.0, 0.500, 1,      3.0,      0.8, 0.970, 1
247057A0A,      0.0, 0.500, 1,      3.4,      0.9, 0.970, 1
247057A0B,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
247058A0A,      0.0, 0.500, 1,      1.5,      0.4, 0.970, 1
247058A0B,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
247059A0A,      0.0, 0.500, 1,      8.8,      2.2, 0.970, 1
247059A0B,      0.0, 0.500, 1,      0.0,      0.0, 0.970, 1
247060A0A,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
247060A0B,      0.0, 0.500, 1,      0.0,      0.0, 0.970, 1
247061A0A,      0.0, 0.500, 1,      5.4,      1.3, 0.970, 1
247061A0B,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
247084B0A,      0.0, 0.500, 1,      8.4,      2.1, 0.970, 1
247084B0B,      0.0, 0.500, 1,      1.3,      0.3, 0.970, 1
247100B0A,      0.0, 0.500, 1,      5.8,      1.5, 0.970, 1
247100B0B,      0.0, 0.500, 1,      0.0,      0.0, 0.970, 1
247105B0A,      0.0, 0.500, 1,      1.8,      0.5, 0.970, 1
247105B0B,      0.0, 0.500, 1,      4.0,      1.0, 0.970, 1
247122B0A,      0.0, 0.500, 1,      5.0,      1.3, 0.970, 1
247122B0B,      0.0, 0.500, 1,      0.8,      0.2, 0.970, 1
247126B0A,      0.0, 0.500, 1,      2.6,      0.6, 0.970, 1
247126B0B,      0.0, 0.500, 1,      1.3,      0.3, 0.970, 1
247160B0A,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
247160B0B,      0.0, 0.500, 1,      4.9,      1.2, 0.970, 1
247162B0A,      0.0, 0.500, 1,      2.8,      0.7, 0.970, 1
247162B0B,      0.0, 0.500, 1,      3.0,      0.8, 0.970, 1
247164B0A,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
247164B0B,      0.0, 0.500, 1,      1.0,      0.3, 0.970, 1
247170B0A,      0.0, 0.500, 1,      2.3,      0.6, 0.970, 1
247170B0B,      0.0, 0.500, 1,     12.3,      3.1, 0.970, 1
247171B0A,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
247171B0B,      0.0, 0.500, 1,      3.0,      0.7, 0.970, 1
247184C0A,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
247184C0B,      0.0, 0.500, 1,      8.3,      2.1, 0.970, 1
247185B0A,      0.0, 0.500, 1,      4.1,      1.0, 0.970, 1
247185B0B,      0.0, 0.500, 1,      1.8,      0.4, 0.970, 1
251828B0A,      0.0, 0.500, 1,      1.8,      0.4, 0.970, 1
251828B0B,      0.0, 0.500, 1,      4.1,      1.0, 0.970, 1
251855C0A,      0.0, 0.500, 1,      2.6,      0.7, 0.970, 1
251855C0B,      0.0, 0.500, 1,      7.6,      1.9, 0.970, 1
251856C0A,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
251856C0B,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
251857C0A,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
251857C0B,      0.0, 0.500, 1,      5.9,      1.5, 0.970, 1
251858C0A,      0.0, 0.500, 1,      5.4,      1.3, 0.970, 1
251858C0B,      0.0, 0.500, 1,      4.8,      1.2, 0.970, 1
251859C0A,      0.0, 0.500, 1,      2.2,      0.6, 0.970, 1
251859C0B,      0.0, 0.500, 1,      7.9,      2.0, 0.970, 1
251862C0A,      0.0, 0.500, 1,      6.1,      1.5, 0.970, 1
251862C0B,      0.0, 0.500, 1,      0.0,      0.0, 0.970, 1
251863C0A,      0.0, 0.500, 1,      8.2,      2.1, 0.970, 1
251863C0B,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
251865C0A,      0.0, 0.500, 1,      5.4,      1.4, 0.970, 1
251865C0B,      0.0, 0.500, 1,      0.7,      0.2, 0.970, 1
251867C0A,      0.0, 0.500, 1,      2.7,      0.7, 0.970, 1
251867C0B,      0.0, 0.500, 1,      7.5,      1.9, 0.970, 1
260457B0A,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
260457B0B,      0.0, 0.500, 1,      1.0,      0.2, 0.970, 1
260458B0A,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
260458B0B,      0.0, 0.500, 1,      3.4,      0.8, 0.970, 1
260461B0A,      0.0, 0.500, 1,      4.5,      1.1, 0.970, 1
260461B0B,      0.0, 0.500, 1,      5.3,      1.3, 0.970, 1
260463B0A,      0.0, 0.500, 1,      1.3,      0.3, 0.970, 1
260463B0B,      0.0, 0.500, 1,      4.6,      1.1, 0.970, 1
260464A0A,      0.0, 0.500, 1,      1.7,      0.4, 0.970, 1
260464A0B,      0.0, 0.500, 1,     11.6,      2.9, 0.970, 1
260467A0A,      0.0, 0.500, 1,      2.7,      0.7, 0.970, 1
260467A0B,      0.0, 0.500, 1,      2.6,      0.7, 0.970, 1
260473A0A,      0.0, 0.500, 1,     13.1,      3.3, 0.970, 1
260473A0B,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
260474A0A,      0.0, 0.500, 1,      8.1,      2.0, 0.970, 1
260474A0B,      0.0, 0.500, 1,      0.8,      0.2, 0.970, 1
260475A0A,      0.0, 0.500, 1,      5.9,      1.5, 0.970, 1
260475A0B,      0.0, 0.500, 1,      7.4,      1.8, 0.970, 1
260476A0A,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
260476A0B,      0.0, 0.500, 1,      2.1,      0.5, 0.970, 1
260479A0A,      0.0, 0.500, 1,     10.2,      2.6, 0.970, 1
260479A0B,      0.0, 0.500, 1,      3.1,      0.8, 0.970, 1
260480C0A,      0.0, 0.500, 1,      5.4,      1.4, 0.970, 1
260480C0B,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
260481C0A,      0.0, 0.500, 1,      9.7,      2.4, 0.970, 1
260481C0B,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
260484A0A,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
260484A0B,      0.0, 0.500, 1,      4.1,      1.0, 0.970, 1
260487A0A,      0.0, 0.500, 1,      4.2,      1.0, 0.970, 1
260487A0B,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
260488A0A,      0.0, 0.500, 1,      2.5,      0.6, 0.970, 1
260488A0B,      0.0, 0.500, 1,     10.8,      2.7, 0.970, 1
260491C0A,      0.0, 0.500, 1,      2.2,      0.6, 0.970, 1
260491C0B,      0.0, 0.500, 1,     13.0,      3.3, 0.970, 1
260494B0A,      0.0, 0.500, 1,      6.2,      1.5, 0.970, 1
260494B0B,      0.0, 0.500, 1,      8.4,      2.1, 0.970, 1
260495B0A,      0.0, 0.500, 1,      0.4,      0.0, 0.970, 1
260495B0B,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
260496B0A,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
260496B0B,      0.0, 0.500, 1,      1.0,      0.3, 0.970, 1
260500B0A,      0.0, 0.500, 1,      1.0,      0.3, 0.970, 1
260500B0B,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
260501B0A,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
260501B0B,      0.0, 0.500, 1,      9.2,      2.3, 0.970, 1
260502B0A,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
260502B0B,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
260503B0A,      0.0, 0.500, 1,      5.0,      1.3, 0.970, 1
260503B0B,      0.0, 0.500, 1,      0.8,      0.2, 0.970, 1
260505C0A,      0.0, 0.500, 1,      0.6,      0.2, 0.970, 1
260505C0B,      0.0, 0.500, 1,      9.5,      2.4, 0.970, 1
260508A0A,      0.0, 0.500, 1,      2.2,      0.5, 0.970, 1
260508A0B,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
260511C0A,      0.0, 0.500, 1,      2.6,      0.7, 0.970, 1
260511C0B,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
260513C0A,      0.0, 0.500, 1,      2.4,      0.6, 0.970, 1
260513C0B,      0.0, 0.500, 1,      3.7,      0.9, 0.970, 1
260514C0A,      0.0, 0.500, 1,      5.0,      1.3, 0.970, 1
260514C0B,      0.0, 0.500, 1,      1.1,      0.3, 0.970, 1
260515A0A,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
260515A0B,      0.0, 0.500, 1,      7.0,      1.8, 0.970, 1
260517C0A,      0.0, 0.500, 1,      0.0,      0.0, 0.970, 1
260517C0B,      0.0, 0.500, 1,      6.1,      1.5, 0.970, 1
260518C0A,      0.0, 0.500, 1,      9.6,      2.4, 0.970, 1
260518C0B,      0.0, 0.500, 1,      0.6,      0.1, 0.970, 1
260520B0A,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
260520B0B,      0.0, 0.500, 1,      0.7,      0.2, 0.970, 1
260521B0A,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
260521B0B,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
260527B0A,      0.0, 0.500, 1,      5.4,      1.3, 0.970, 1
260527B0B,      0.0, 0.500, 1,      4.4,      1.1, 0.970, 1
260528C0A,      0.0, 0.500, 1,      6.4,      1.6, 0.970, 1
260528C0B,      0.0, 0.500, 1,      3.8,      1.0, 0.970, 1
260529C0A,      0.0, 0.500, 1,      3.4,      0.9, 0.970, 1
260529C0B,      0.0, 0.500, 1,      0.6,      0.2, 0.970, 1
260532C0A,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
260532C0B,      0.0, 0.500, 1,      2.6,      0.7, 0.970, 1
260535C0A,      0.0, 0.500, 1,      2.5,      0.6, 0.970, 1
260535C0B,      0.0, 0.500, 1,     12.8,      3.2, 0.970, 1
260542A0A,      0.0, 0.500, 1,      2.1,      0.5, 0.970, 1
260542A0B,      0.0, 0.500, 1,      6.8,      1.7, 0.970, 1
260543C0A,      0.0, 0.500, 1,      9.6,      2.4, 0.970, 1
260543C0B,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
260551C0A,      0.0, 0.500, 1,     11.0,      2.8, 0.970, 1
260551C0B,      0.0, 0.500, 1,      4.3,      1.1, 0.970, 1
260552A0A,      0.0, 0.500, 1,     10.7,      2.7, 0.970, 1
260552A0B,      0.0, 0.500, 1,      7.0,      1.8, 0.970, 1
260553C0A,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
260553C0B,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
260554C0A,      0.0, 0.500, 1,      3.0,      0.7, 0.970, 1
260554C0B,      0.0, 0.500, 1,      3.1,      0.8, 0.970, 1
260555A0A,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
260555A0B,      0.0, 0.500, 1,     11.4,      2.9, 0.970, 1
260558C0A,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
260558C0B,      0.0, 0.500, 1,      2.2,      0.5, 0.970, 1
260561C0A,      0.0, 0.500, 1,      8.0,      2.0, 0.970, 1
260561C0B,      0.0, 0.500, 1,      2.1,      0.5, 0.970, 1
260562A0A,      0.0, 0.500, 1,      4.9,      1.2, 0.970, 1
260562A0B,      0.0, 0.500, 1,      8.4,      2.1, 0.970, 1
260567C0A,      0.0, 0.500, 1,      4.2,      1.0, 0.970, 1
260567C0B,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
260568C0A,      0.0, 0.500, 1,      3.3,      0.8, 0.970, 1
260568C0B,      0.0, 0.500, 1,      2.8,      0.7, 0.970, 1
260569C0A,      0.0, 0.500, 1,      7.3,      1.8, 0.970, 1
260569C0B,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
260572C0A,      0.0, 0.500, 1,      2.3,      0.6, 0.970, 1
260572C0B,      0.0, 0.500, 1,      3.8,      1.0, 0.970, 1
260573C0A,      0.0, 0.500, 1,      3.4,      0.9, 0.970, 1
260573C0B,      0.0, 0.500, 1,      2.7,      0.7, 0.970, 1
260574C0A,      0.0, 0.500, 1,      4.8,      1.2, 0.970, 1
260574C0B,      0.0, 0.500, 1,      5.3,      1.3, 0.970, 1
260575B0A,      0.0, 0.500, 1,      2.6,      0.6, 0.970, 1
260575B0B,      0.0, 0.500, 1,      3.3,      0.8, 0.970, 1
260576C0A,      0.0, 0.500, 1,      9.3,      2.3, 0.970, 1
260576C0B,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
260577C0A,      0.0, 0.500, 1,      1.5,      0.4, 0.970, 1
260577C0B,      0.0, 0.500, 1,     13.8,      3.5, 0.970, 1
260581C0A,      0.0, 0.500, 1,      6.6,      1.7, 0.970, 1
260581C0B,      0.0, 0.500, 1,      3.6,      0.9, 0.970, 1
260586B0A,      0.0, 0.500, 1,     12.5,      3.1, 0.970, 1
260586B0B,      0.0, 0.500, 1,      2.1,      0.5, 0.970, 1
260589B0A,      0.0, 0.500, 1,      0.4,      0.0, 0.970, 1
260589B0B,      0.0, 0.500, 1,      5.5,      1.4, 0.970, 1
